City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Jamestown,US,76.08,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Hambantota,LK,79.65,broken clouds,6.1241,81.1185,Bungalow 63
15,Sungairaya,ID,79.11,overcast clouds,0.7,108.9,Mess P.Milu
17,Lompoc,US,81.1,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
20,Wanning,CN,78.85,light rain,18.8003,110.3967,Paradise Hotel
22,Iroquois Falls,CA,75.34,clear sky,48.7669,-80.6831,Auberge MacDonald Guest Inn
23,Broome,US,78.71,few clouds,42.2506,-75.833,Chenango Valley State Park
24,Kavieng,PG,81.52,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
29,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
30,Avare,BR,79.29,clear sky,-23.0986,-48.9258,Hotel Rio Novo
32,Ayni,TJ,75.74,scattered clouds,39.3941,68.5377,Меҳмонхона СУҒД
34,Aberystwyth,GB,76.71,overcast clouds,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
47,Faanui,PF,78.08,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Ixtapa,MX,89.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
52,Tezu,IN,77.49,scattered clouds,27.9167,96.1667,Circuit House
54,Kutum,SD,76.28,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
61,Umm Lajj,SA,88.14,clear sky,25.0213,37.2685,Moon light Furnished Units
62,Bethel,US,81.9,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
65,Butaritari,KI,83.68,broken clouds,3.0707,172.7902,Isles Sunset Lodge
66,Ishigaki,JP,81.25,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
67,Tortoli,IT,85.98,clear sky,39.9256,9.6572,Hotel La Bitta
70,Tarakan,ID,78.3,thunderstorm with light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
72,Lamar,US,89.53,scattered clouds,33.6668,-95.5836,Kings Inn Paris TX
73,Kushima,JP,77.38,overcast clouds,31.4583,131.2333,Hanaoka
74,Hamilton,US,84.74,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
76,Requena,ES,81.0,overcast clouds,39.4883,-1.1004,Hotel Avenida
77,Bambanglipuro,ID,76.28,scattered clouds,-7.95,110.2833,Puri Brata
78,Lamu,KE,77.22,few clouds,-2.2717,40.902,Lamu House
79,Sechura,PE,76.62,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
83,Magdalena,PH,81.72,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
84,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
97,Itarema,BR,85.14,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
101,Qurayyat,SA,89.78,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
104,Roma,US,79.92,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
110,Bitung,ID,81.45,overcast clouds,1.4451,125.1824,K2 Lembeh
112,Anloga,GH,80.82,broken clouds,5.7947,0.8973,Pin Drop Hotel
113,Kokopo,PG,76.03,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
114,Kalmunai,LK,80.49,overcast clouds,7.4167,81.8167,VS Villa
117,Buala,SB,79.56,light rain,-8.145,159.5921,Maringe Lagoon Lodge
119,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Braganca,BR,82.89,light rain,-1.0536,-46.7656,Marujo's Suíte Hotel
126,Barcarena,BR,87.85,few clouds,-1.5058,-48.6258,Dos Santos Hotel
134,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
139,Fangshan,CN,79.75,scattered clouds,39.6983,115.9925,Super 8 Beijing Fangshan Yanhua Subway Station
141,Hilo,US,80.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
147,Pafos,CY,82.31,few clouds,34.7667,32.4167,Elysium Hotel
154,Shetpe,KZ,81.18,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
155,Maua,BR,77.52,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
166,Puerto Narino,CO,89.55,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
173,Changji,CN,84.99,thunderstorm,44.0167,87.3167,Lvye Holiday Resort
174,Puerto Leguizamo,CO,86.38,broken clouds,-0.1934,-74.7819,la casona de juancho
177,Cao Bang,VN,75.94,broken clouds,22.6667,106.25,khách sạn 88
178,Saravena,CO,79.75,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
181,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
182,Ovre Ardal,NO,79.68,clear sky,61.3167,7.8,Sitla Motel & Apartment
194,Kandrian,PG,77.0,broken clouds,-6.2167,149.55,Kandrian Station
195,Hornepayne,CA,81.3,scattered clouds,49.2138,-84.7705,Jackfish River Inn
200,Salalah,OM,77.85,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
201,Moussoro,TD,85.86,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
203,Lata,PT,77.04,overcast clouds,40.1629,-8.3327,Casa Maquia
205,Ugento,IT,78.96,clear sky,39.9263,18.1574,Porta Paradiso
206,Atuona,PF,76.6,broken clouds,-9.8,-139.0333,Villa Enata
207,Catamarca,AR,83.59,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
208,Labuan,MY,80.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
213,Bengkulu,ID,75.83,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
215,Naze,JP,77.58,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
221,Harper,LR,77.95,overcast clouds,4.375,-7.7169,Screensaver
225,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
230,Belmonte,BR,78.8,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
231,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
