City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,54.01,70,0,3.44,clear sky
1,Namibe,AO,-15.1961,12.1522,67.26,93,2,6.87,clear sky
2,Mataura,NZ,-46.1927,168.8643,41.49,92,86,3.13,overcast clouds
3,Albany,US,42.6001,-73.9662,79.14,58,32,5.55,scattered clouds
4,Avarua,CK,-21.2078,-159.775,73.45,88,90,5.75,overcast clouds
5,Orel,RU,52.9658,36.0803,65.1,73,83,7.7,broken clouds
6,Severo-Kurilsk,RU,50.6789,156.125,52.66,95,97,4.0,light rain
7,Punta Arenas,CL,-53.15,-70.9167,41.11,70,0,29.93,clear sky
8,Bluff,NZ,-46.6,168.3333,41.81,85,99,9.6,overcast clouds
9,Jamestown,US,42.097,-79.2353,76.08,53,75,10.36,broken clouds
10,Challans,FR,46.8436,-1.8749,72.27,73,90,16.46,overcast clouds
11,Hobart,AU,-42.8794,147.3294,44.46,80,57,4.0,broken clouds
12,San Quintin,MX,30.4833,-115.95,74.75,69,78,9.22,broken clouds
13,Hambantota,LK,6.1241,81.1185,79.65,78,72,16.33,broken clouds
14,Menongue,AO,-14.6585,17.691,57.88,18,64,5.3,broken clouds
15,Sungairaya,ID,0.7,108.9,79.11,82,90,6.02,overcast clouds
16,Dikson,RU,73.5069,80.5464,44.67,68,41,10.65,scattered clouds
17,Lompoc,US,34.6391,-120.4579,81.1,81,75,5.75,mist
18,Smithers,CA,54.7804,-127.1743,53.92,82,90,3.44,overcast clouds
19,Barrow,US,71.2906,-156.7887,37.42,87,90,17.27,mist
20,Wanning,CN,18.8003,110.3967,78.85,89,72,8.43,light rain
21,Contamana,PE,-7.3333,-75.0167,93.29,33,35,2.15,scattered clouds
22,Iroquois Falls,CA,48.7669,-80.6831,75.34,36,0,4.43,clear sky
23,Broome,US,42.2506,-75.833,78.71,55,16,3.0,few clouds
24,Kavieng,PG,-2.5744,150.7967,81.52,79,28,12.57,scattered clouds
25,Port Hardy,CA,50.6996,-127.4199,55.58,94,90,2.3,light rain
26,San Luis Rio Colorado,MX,32.4631,-114.7767,101.89,27,100,16.64,overcast clouds
27,Longyearbyen,SJ,78.2186,15.6401,49.84,66,75,11.5,broken clouds
28,Necochea,AR,-38.5473,-58.7368,58.03,53,95,14.65,overcast clouds
29,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,16.11,scattered clouds
30,Avare,BR,-23.0986,-48.9258,79.29,20,0,6.31,clear sky
31,Ambilobe,MG,-13.2,49.05,67.89,77,5,2.95,clear sky
32,Ayni,TJ,39.3941,68.5377,75.74,48,47,2.93,scattered clouds
33,Kargasok,RU,59.0556,80.8572,65.59,63,4,7.67,clear sky
34,Aberystwyth,GB,52.4155,-4.0829,76.71,73,97,10.16,overcast clouds
35,Rikitea,PF,-23.1203,-134.9692,71.67,74,73,17.87,broken clouds
36,Qaanaaq,GL,77.484,-69.3632,43.05,62,78,1.77,broken clouds
37,Okhotsk,RU,59.3833,143.3,56.01,93,82,1.45,broken clouds
38,Gamba,GA,-2.65,10.0,71.55,81,84,7.92,broken clouds
39,Bredasdorp,ZA,-34.5322,20.0403,51.12,71,0,10.36,clear sky
40,Pevek,RU,69.7008,170.3133,41.41,84,97,3.87,light rain
41,Mount Gambier,AU,-37.8333,140.7667,48.11,93,90,17.27,overcast clouds
42,Lebu,CL,-37.6167,-73.65,53.51,79,100,16.2,overcast clouds
43,Devonport,AU,-41.1667,146.35,50.99,81,100,12.71,overcast clouds
44,Pokrovka,KG,42.3414,78.0056,64.53,45,0,4.68,clear sky
45,Ilulissat,GL,69.2167,-51.1,36.5,98,100,4.43,light rain
46,Kunya,NG,12.2233,8.5325,80.76,74,20,9.22,few clouds
47,Faanui,PF,-16.4833,-151.75,78.08,67,84,15.99,broken clouds
48,Kainantu,PG,-6.2887,145.8655,59.88,97,99,1.83,overcast clouds
49,Rudbar,AF,30.15,62.6,96.82,11,0,9.46,clear sky
50,Carnarvon,AU,-24.8667,113.6333,62.67,65,40,11.5,scattered clouds
51,Ixtapa,MX,20.7,-105.2,89.22,69,98,4.0,overcast clouds
52,Tezu,IN,27.9167,96.1667,77.49,93,47,3.33,scattered clouds
53,Turukhansk,RU,65.8167,87.9833,64.33,73,64,15.03,broken clouds
54,Kutum,SD,14.2,24.6667,76.28,60,89,17.38,overcast clouds
55,Giyani,ZA,-23.3025,30.7187,55.92,35,0,9.33,clear sky
56,Ushuaia,AR,-54.8,-68.3,40.66,70,40,13.8,light rain
57,Provideniya,RU,64.3833,-173.3,49.15,71,35,6.49,scattered clouds
58,Busselton,AU,-33.65,115.3333,49.08,62,93,15.84,overcast clouds
59,Nuuk,GL,64.1835,-51.7216,45.88,87,100,23.0,light rain
60,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,88,75,8.05,broken clouds
61,Umm Lajj,SA,25.0213,37.2685,88.14,53,0,9.28,clear sky
62,Bethel,US,41.3712,-73.414,81.9,56,3,1.99,clear sky
63,Saldanha,ZA,-33.0117,17.9442,50.05,61,0,8.55,clear sky
64,Vaini,TO,-21.2,-175.2,73.56,94,75,3.44,broken clouds
65,Butaritari,KI,3.0707,172.7902,83.68,72,76,17.31,broken clouds
66,Ishigaki,JP,24.3448,124.1572,81.25,94,100,54.85,moderate rain
67,Tortoli,IT,39.9256,9.6572,85.98,53,0,5.39,clear sky
68,Airai,TL,-8.9266,125.4092,55.38,46,7,3.27,clear sky
69,Saint Anthony,US,45.0205,-93.218,93.83,49,39,3.0,scattered clouds
70,Tarakan,ID,3.3,117.6333,78.3,94,75,4.61,thunderstorm with light rain
71,Margate,GB,51.3813,1.3862,68.31,74,84,7.0,broken clouds
72,Lamar,US,33.6668,-95.5836,89.53,66,40,9.22,scattered clouds
73,Kushima,JP,31.4583,131.2333,77.38,92,100,12.82,overcast clouds
74,Hamilton,US,39.1834,-84.5333,84.74,56,66,1.01,broken clouds
75,Kodinsk,RU,58.6881,99.1844,60.78,69,7,2.53,clear sky
76,Requena,ES,39.4883,-1.1004,81.0,22,91,10.51,overcast clouds
77,Bambanglipuro,ID,-7.95,110.2833,76.28,82,25,8.08,scattered clouds
78,Lamu,KE,-2.2717,40.902,77.22,80,23,18.52,few clouds
79,Sechura,PE,-5.5569,-80.8222,76.62,58,41,11.18,scattered clouds
80,Tazovskiy,RU,67.4667,78.7,64.92,89,100,24.05,light rain
81,Mitu,CO,1.1983,-70.1733,81.07,80,92,2.59,overcast clouds
82,Nikolskoye,RU,59.7035,30.7861,64.8,58,97,3.24,overcast clouds
83,Magdalena,PH,14.1999,121.429,81.72,88,100,8.81,overcast clouds
84,Kapaa,US,22.0752,-159.319,80.58,82,77,5.01,broken clouds
85,Sangar,RU,63.9242,127.4739,61.0,73,100,0.43,overcast clouds
86,Phonhong,LA,18.5007,102.4166,74.57,98,100,2.98,heavy intensity rain
87,Kodiak,US,57.79,-152.4072,51.89,96,100,18.12,moderate rain
88,Georgetown,MY,5.4112,100.3354,83.89,82,20,0.0,few clouds
89,Yerbogachen,RU,61.2767,108.0108,59.29,67,40,2.89,scattered clouds
90,Nabire,ID,-3.3667,135.4833,74.7,91,100,4.07,overcast clouds
91,La Ronge,CA,55.1001,-105.2842,61.05,63,90,10.36,overcast clouds
92,Yangambi,CD,0.8102,24.4336,74.01,83,89,1.34,overcast clouds
93,Angoche,MZ,-16.2325,39.9086,73.06,75,96,17.45,light rain
94,Henties Bay,NA,-22.116,14.2845,61.86,48,0,8.77,clear sky
95,Ulverstone,AU,-41.15,146.1667,51.19,81,100,11.01,overcast clouds
96,Panaba,MX,21.2833,-88.2667,96.31,39,80,15.73,broken clouds
97,Itarema,BR,-2.9248,-39.9167,85.14,57,5,18.41,clear sky
98,Mareeba,AU,-17.0,145.4333,63.32,96,18,2.48,few clouds
99,Upernavik,GL,72.7868,-56.1549,39.47,97,100,8.3,light rain
100,Evensk,RU,61.95,159.2333,49.41,99,100,3.65,light rain
101,Qurayyat,SA,31.3318,37.3428,89.78,25,0,18.41,clear sky
102,Lagoa,PT,39.05,-27.9833,70.36,94,90,15.26,overcast clouds
103,Port-Cartier,CA,50.0334,-66.8654,68.11,79,100,1.97,overcast clouds
104,Roma,US,43.2128,-75.4557,79.92,68,57,5.99,broken clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,71,75,10.36,broken clouds
106,College,US,64.8569,-147.8028,65.59,79,75,3.44,broken clouds
107,Saskylakh,RU,71.9167,114.0833,58.64,87,38,10.89,scattered clouds
108,Chokurdakh,RU,70.6333,147.9167,36.07,83,29,12.08,scattered clouds
109,Hermanus,ZA,-34.4187,19.2345,51.91,75,0,12.01,clear sky
110,Bitung,ID,1.4451,125.1824,81.45,82,98,16.87,overcast clouds
111,Saint George,US,37.1041,-113.5841,95.47,44,94,1.99,overcast clouds
112,Anloga,GH,5.7947,0.8973,80.82,79,73,13.78,broken clouds
113,Kokopo,PG,-4.352,152.2633,76.03,87,74,5.26,broken clouds
114,Kalmunai,LK,7.4167,81.8167,80.49,67,98,11.16,overcast clouds
115,Inta,RU,66.0317,60.1659,51.15,73,71,3.27,broken clouds
116,Troitskoye,RU,52.9821,84.6757,63.55,94,99,3.98,overcast clouds
117,Buala,SB,-8.145,159.5921,79.56,83,14,5.55,light rain
118,Nazarovo,RU,56.0064,90.3914,58.14,85,61,6.46,broken clouds
119,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,95,8.99,overcast clouds
120,Mahebourg,MU,-20.4081,57.7,71.89,73,75,6.91,broken clouds
121,Kargil,IN,34.5667,76.1,64.18,46,81,5.86,broken clouds
122,Port Alfred,ZA,-33.5906,26.891,53.28,65,76,6.11,broken clouds
123,Bandar-E Lengeh,IR,26.5579,54.8807,95.11,71,0,9.22,haze
124,Braganca,BR,-1.0536,-46.7656,82.89,68,45,4.76,light rain
125,New Norfolk,AU,-42.7826,147.0587,44.1,80,50,3.06,scattered clouds
126,Barcarena,BR,-1.5058,-48.6258,87.85,47,21,4.47,few clouds
127,Cidreira,BR,-30.1811,-50.2056,66.16,65,7,7.92,clear sky
